"thunder","altDogID","altSireID","altDamID"
3,"R6111","R4639","R2057"
1,"R6112","R4639","R2057"
5,"R6115","R4965","R4373"
5,"R6117","R4965","R4373"
5,"R6118","R4965","R4373"
5,"R6120","R4965","R4373"
5,"R6123","R4965","R4373"
5,"R6127","R5045","R4507"
5,"R6128","R5045","R4507"
1,"R6129","R5045","R4507"
5,"R6135","R5081","R3638"
5,"R6136","R5081","R3638"
3,"R6139","R4240","R3542"
5,"R6142","R4240","R3542"
5,"R6146","R4504","R4636"
5,"R6149","R4504","R4636"
5,"R6150","R4504","R4636"
4,"R6151","R4504","R4636"
5,"R6153","R4504","R4636"
5,"R6155","R5081","R4846"
5,"R6157","R5081","R4846"
5,"R6159","R5081","R4846"
2,"R6164","R5081","R2800"
4,"R6165","R5081","R2800"
3,"R6167","R5081","R2800"
4,"R6168","R5081","R2800"
5,"R6170","R4240","R4581"
5,"R6173","R4240","R4581"
5,"R6174","R4240","R4581"
5,"R6175","R4240","R4581"
5,"R6176","R4240","R4581"
5,"R6177","R4965","R3988"
5,"R6180","R4965","R3988"
5,"R6187","R4639","R4881"
5,"R6188","R4639","R4881"
5,"R6189","R4639","R4881"
3,"R6190","R4965","R3607"
1,"R6191","R4965","R3607"
2,"R6192","R4965","R3607"
3,"R6196","R4965","R3607"
1,"R6197","R4965","R3607"
5,"R6199","R5120","R2488"
5,"R6200","R5120","R2488"
2,"R6203","R5120","R2488"
5,"R6204","R5120","R2488"
5,"R6205","R5120","R2488"
